grade,population
12,92.295
12,144.69
12,146.895
12,58.905
12,51.24
12,12.6
12,14.49
12,5891.34
12,181.44
12,140.385
12,1287.3
12,336.42
12,80.115
12,187.635
12,316.89
10,34.454
10,66.792
10,68.724
10,25.07
10,20.93
10,6.072
10,8.51
10,2579.404
10,80.454
10,64.676
10,538.292
10,158.976
10,39.008
10,89.332
10,139.196
8,22.49
8,39.832
8,33.67
8,16.042
8,11.388
8,3.224
8,4.706
8,1490.554
8,48.36
8,32.864
8,295.126
8,98.176
8,19.266
8,51.376
8,76.778
