County,10
Apache,749
Cochise,1452
Coconino,1494
Gila,545
Graham,455
Greenlee,132
La Paz,185
Maricopa,56074
Mohave,1749
Navajo,1406
Pima,11702
Pinal,3456
Santa Cruz,848
Yavapai,1942
Yuma,3026
