,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
0,2018,A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,*,13,*,*,*,*,13,*,*,*,*,*,*,*,63
1,2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,*,*,*,*,*,*,*,*,*,*,*,45,35,64,151
2,2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3,2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,*,70,71,72,74,77,*,*,*,*,*,*,*,*,364
4,2018,ASU Preparatory Academy,90273,Phoenix Collegiate Academy Charter School,90274,*,*,*,*,*,*,31,45,39,46,*,*,*,*,161
5,2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,*,*,*,*,*,*,*,*,*,*,105,104,84,86,379
6,2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,*,*,*,*,*,*,*,*,*,*,84,71,54,57,266
7,2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,*,74,71,76,73,75,*,*,*,*,*,*,*,*,369
8,2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,*,*,*,*,*,*,87,89,84,86,*,*,*,*,346
9,2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,*,*,*,*,*,*,75,72,74,74,*,*,*,*,295
10,2018,ASU Preparatory Academy,92716,"Phoenix Collegiate Academy Elementary, LLC",70692,*,46,40,35,41,34,*,*,*,*,*,*,*,*,196
11,2018,ASU Preparatory Academy,346763,Phoenix Collegiate Academy High School,92248,*,*,*,*,*,*,*,*,*,*,30,35,29,48,142
12,2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17
13,2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,*,*,*,*,*,*,*,*,*,*,62,31,32,24,149
14,2018,ASU Preparatory Academy Digital,522074,ASU Preparatory Academy Digital,860177,*,*,*,*,*,*,*,*,*,*,15,11,*,*,38
15,2018,"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,*,*,*,*,*,*,*,*,37,32,22,23,26,33,173
16,2018,"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,*,*,20,14,14,13,*,*,*,*,*,*,*,*,85
17,2018,"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,*,82,64,60,63,61,48,37,56,50,*,*,*,*,521
18,2018,"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,*,*,*,*,*,12,*,*,*,*,*,*,*,*,84
19,2018,"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,*,*,*,*,*,*,*,*,*,*,*,37,29,43,116
20,2018,"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,*,*,*,*,*,*,*,*,*,*,*,*,*,*,46
21,2018,"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,*,58,58,66,65,51,47,39,45,27,*,*,*,*,456
22,2018,"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,*,103,105,96,96,90,81,94,84,58,*,*,*,*,807
23,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,*,60,59,57,52,52,*,*,*,*,*,*,*,*,280
24,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,*,*,*,*,*,*,*,*,*,*,38,42,37,30,147
25,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,*,*,*,*,*,*,57,72,76,66,*,*,*,*,271
26,2018,Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,*,*,*,*,*,*,*,*,*,*,*,11,31,62,108
27,2018,Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,*,16,11,15,12,14,13,16,11,18,15,*,*,*,165
28,2018,"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,*,*,*,*,*,*,*,*,*,*,*,15,52,102,175
29,2018,Acclaim Charter School,4325,ACCLAIM Academy,5496,*,29,38,36,40,46,30,44,42,37,*,*,*,*,342
30,2018,Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,*,*,*,59,54,53,41,44,40,28,*,*,*,*,319
31,2018,Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,*,68,53,*,*,*,*,*,*,*,*,*,*,*,121
32,2018,Agua Fria Union High School District,4289,Agua Fria High School,5454,*,*,*,*,*,*,*,*,*,*,497,482,406,376,1761
33,2018,Agua Fria Union High School District,4289,Desert Edge High School,79799,*,*,*,*,*,*,*,*,*,*,481,389,429,396,1695
34,2018,Agua Fria Union High School District,4289,Millennium High School,78926,*,*,*,*,*,*,*,*,*,*,587,657,531,512,2287
35,2018,Agua Fria Union High School District,4289,Verrado High School,87903,*,*,*,*,*,*,*,*,*,*,539,558,432,494,2023
36,2018,Aguila Elementary District,4249,Aguila Elementary School,5187,*,15,11,16,23,15,21,18,16,16,*,*,*,*,158
37,2018,Ajo Unified District,4409,Ajo Elementary School,5831,*,30,34,36,36,38,44,30,32,36,*,*,*,*,324
38,2018,Ajo Unified District,4409,Ajo High School,6292,*,*,*,*,*,*,*,*,*,*,27,38,30,24,119
39,2018,"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17
40,2018,"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,*,*,*,*,*,38,44,*,*,*,*,*,*,*,82
41,2018,Alhambra Elementary District,4280,Alhambra Traditional School,5381,*,97,85,89,80,86,78,77,62,57,*,*,*,*,711
42,2018,Alhambra Elementary District,4280,Andalucia Middle School,5382,*,*,*,*,*,212,246,218,211,215,*,*,*,*,1102
43,2018,Alhambra Elementary District,4280,Barcelona Middle School,5384,186,*,*,*,*,143,146,133,149,138,*,*,*,*,895
44,2018,Alhambra Elementary District,4280,Carol G. Peck Elementary School,6030,*,147,139,164,154,*,*,*,*,*,*,*,*,*,604
45,2018,Alhambra Elementary District,4280,Catalina Ventura School,5385,*,101,88,101,109,152,141,145,148,149,*,*,*,*,1134
46,2018,Alhambra Elementary District,4280,Cordova Elementary School,5386,*,77,63,74,94,95,110,101,104,109,*,*,*,*,827
47,2018,Alhambra Elementary District,4280,Granada East School,5387,*,*,*,*,*,198,217,227,204,205,*,*,*,*,1051
48,2018,Alhambra Elementary District,4280,Granada Primary School,5388,*,171,173,184,203,*,*,*,*,*,*,*,*,*,731
49,2018,Alhambra Elementary District,4280,James W. Rice Primary School,5383,*,180,190,203,223,*,*,*,*,*,*,*,*,*,796
50,2018,Alhambra Elementary District,4280,Montebello School,5389,*,103,133,121,149,153,143,168,139,148,*,*,*,*,1257
51,2018,Alhambra Elementary District,4280,R E Simpson School,5391,*,*,*,*,*,151,163,174,175,141,*,*,*,*,804
52,2018,Alhambra Elementary District,4280,Sevilla Primary School,5390,*,163,173,201,228,*,*,*,*,*,*,*,*,*,765
53,2018,Alhambra Elementary District,4280,Sevilla West School,79203,*,*,*,*,*,227,232,223,216,250,*,*,*,*,1148
54,2018,Alhambra Elementary District,4280,Westwood Primary School,5392,*,175,171,189,188,*,*,*,*,*,*,*,*,*,723
55,2018,All Aboard Charter School,79969,All Aboard Charter School,79970,*,24,23,18,23,16,17,*,*,*,*,*,*,*,121
56,2018,"Allen-Cochran Enterprises, Inc.",4347,Center for Educational Excellence,5521,*,35,50,44,39,44,42,38,29,22,*,*,*,*,343
57,2018,Alpine Elementary District,4161,Alpine Elementary School,4743,*,11,*,*,*,*,*,*,*,*,*,*,*,*,60
58,2018,Altar Valley Elementary District,4418,Altar Valley Middle School,5859,*,*,*,*,*,*,68,82,78,74,*,*,*,*,302
59,2018,Altar Valley Elementary District,4418,Robles Elementary School,84336,23,63,52,66,62,71,*,*,*,*,*,*,*,*,337
60,2018,American Basic Schools LLC,79215,Burke Basic School,78788,*,141,133,143,115,146,119,83,*,*,*,*,*,*,880
61,2018,American Charter Schools Foundation d.b.a. Alta Vista High School,80995,Alta Vista High School,80996,*,*,*,*,*,*,*,*,*,*,73,125,111,119,428
62,2018,American Charter Schools Foundation d.b.a. Apache Trail High School,79883,Apache Trail High School,6346,*,*,*,*,*,*,*,*,*,*,18,38,46,60,162
63,2018,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,79874,Crestview College Preparatory High School,78813,*,*,*,*,*,*,*,*,*,17,23,52,80,102,275
64,2018,American Charter Schools Foundation d.b.a. Desert Hills High School,79872,Desert Hills High School,78901,*,*,*,*,*,*,*,*,*,*,21,39,58,67,185
65,2018,American Charter Schools Foundation d.b.a. Estrella High School,79873,Estrella High School,78900,*,*,*,*,*,*,*,*,*,*,15,35,61,114,225
66,2018,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,Peoria Accelerated High School,78817,*,*,*,*,*,*,*,*,*,*,13,88,123,246,470
67,2018,American Charter Schools Foundation d.b.a. South Pointe High School,80989,South Pointe High School,80990,*,*,*,*,*,*,*,*,*,*,84,109,128,177,498
68,2018,American Charter Schools Foundation d.b.a. South Ridge High School,88334,South Ridge High School,88335,*,*,*,*,*,*,*,*,*,*,126,105,104,61,396
69,2018,American Charter Schools Foundation d.b.a. Sun Valley High School,79877,Sun Valley High School,6347,*,*,*,*,*,*,*,*,*,*,24,84,110,273,491
70,2018,American Charter Schools Foundation d.b.a. West Phoenix High School,79879,West Phoenix High School,6348,*,*,*,*,*,*,*,*,*,*,59,88,117,174,438
71,2018,American Heritage Academy,6365,American Heritage Academy - Camp Verde,88201,*,14,25,18,17,21,18,21,13,17,*,*,*,*,164
72,2018,American Heritage Academy,6365,American Heritage Academy - Cottonwood,6366,*,18,18,23,23,26,24,23,28,31,25,15,21,21,296
73,2018,"American Leadership Academy, Inc.",4348,ALA Mesa,91778,*,76,81,77,64,64,62,49,*,*,*,*,*,*,473
74,2018,"American Leadership Academy, Inc.",4348,ALA San Tan,91173,*,86,87,101,99,103,76,85,*,*,*,*,*,*,637
75,2018,"American Leadership Academy, Inc.",4348,American Leadership Academy,5522,*,109,86,71,77,69,48,50,*,*,*,*,*,*,510
76,2018,"American Leadership Academy, Inc.",4348,American Leadership Academy - Ironwood,92885,*,108,108,109,110,118,117,140,288,271,265,196,142,93,2065
77,2018,"American Leadership Academy, Inc.",4348,American Leadership Academy - Queen Creek,90769,*,88,122,108,127,122,120,149,209,236,260,264,200,212,2217
78,2018,"American Leadership Academy, Inc.",4348,American Leadership Academy Anthem South Campus,92348,*,68,63,44,62,45,53,38,*,*,*,*,*,*,373
79,2018,"American Leadership Academy, Inc.",4348,American Leadership Academy Signal Butte,242454,*,21,23,20,17,20,*,13,*,*,*,*,*,*,124
80,2018,"American Leadership Academy, Inc.",4348,"American Leadership Academy, Gilbert",509281,*,83,69,90,91,81,96,123,208,154,141,126,86,46,1394
81,2018,"American Leadership Academy, Inc.",4348,"American Leadership Academy, Higley",865358,*,28,20,*,17,*,17,11,*,*,*,*,*,*,111
82,2018,American Virtual Academy,79461,Primavera - Online,81178,*,*,*,*,*,*,*,57,141,274,267,611,935,1942,4227
83,2018,Amphitheater Unified District,4406,Amphi Academy Online,91755,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
84,2018,Amphitheater Unified District,4406,Amphi Academy at El Hogar,91755,*,*,*,*,*,*,*,*,*,*,*,*,12,18,38
85,2018,Amphitheater Unified District,4406,Amphitheater High School,6055,*,*,*,*,*,*,*,*,*,*,307,307,294,298,1206
86,2018,Amphitheater Unified District,4406,Amphitheater Middle School,5805,*,*,*,*,*,*,*,291,230,247,*,*,*,*,768
87,2018,Amphitheater Unified District,4406,Canyon Del Oro High School,5808,*,*,*,*,*,*,*,*,*,*,440,391,368,366,1565
88,2018,Amphitheater Unified District,4406,Copper Creek Elementary School,5802,30,61,82,65,74,65,89,*,*,*,*,*,*,*,466
89,2018,Amphitheater Unified District,4406,Coronado K-8 School,5799,*,52,60,59,69,74,80,159,157,177,*,*,*,*,887
90,2018,Amphitheater Unified District,4406,E C Nash School,5796,*,57,58,85,64,66,56,*,*,*,*,*,*,*,386
91,2018,Amphitheater Unified District,4406,Frances Owen Holaway Elementary School,5794,16,63,67,64,72,48,67,*,*,*,*,*,*,*,397
92,2018,Amphitheater Unified District,4406,Helen Keeling Elementary School,5795,*,63,64,67,61,55,66,*,*,*,*,*,*,*,376
93,2018,Amphitheater Unified District,4406,Ironwood Ridge High School,79378,*,*,*,*,*,*,*,*,*,*,455,446,442,376,1719
94,2018,Amphitheater Unified District,4406,L M Prince School,5797,*,88,95,112,100,112,118,*,*,*,*,*,*,*,626
95,2018,Amphitheater Unified District,4406,La Cima Middle School,5804,*,*,*,*,*,*,*,168,167,146,*,*,*,*,481
96,2018,Amphitheater Unified District,4406,Lawrence W Cross Middle School,5806,*,*,*,*,*,*,*,194,222,247,*,*,*,*,663
97,2018,Amphitheater Unified District,4406,Lulu Walker School,5798,21,67,73,76,77,60,77,*,*,*,*,*,*,*,451
98,2018,Amphitheater Unified District,4406,Marion Donaldson Elementary School,5792,19,45,36,49,45,50,52,*,*,*,*,*,*,*,296
99,2018,Amphitheater Unified District,4406,Mesa Verde Elementary School,5800,*,64,51,58,56,69,69,*,*,*,*,*,*,*,367
100,2018,Amphitheater Unified District,4406,Painted Sky Elementary School,79282,*,52,51,73,73,66,82,*,*,*,*,*,*,*,397
101,2018,Amphitheater Unified District,4406,Richard B Wilson Jr School,5807,*,63,60,77,85,106,156,196,222,247,*,*,*,*,1212
102,2018,Amphitheater Unified District,4406,Rillito Center,5803,*,*,*,*,*,*,*,*,*,*,*,*,*,17,75
103,2018,Amphitheater Unified District,4406,Rio Vista Elementary School,5801,*,52,80,73,89,80,69,*,*,*,*,*,*,*,443
104,2018,Amphitheater Unified District,4406,The Innovation Academy,12976,*,69,55,66,58,40,28,*,*,*,*,*,*,*,316
105,2018,Amphitheater Unified District,4406,Winifred Harelson Elementary School,5793,*,66,75,73,72,88,82,61,*,*,*,*,*,*,517
106,2018,Antelope Union High School District,4506,AUHS Online Acadamy,92739,*,*,*,*,*,*,*,*,*,*,*,*,*,20,26
107,2018,Antelope Union High School District,4506,Antelope Union High School,6188,*,*,*,*,*,*,*,*,*,*,47,60,48,40,195
108,2018,Anthem Preparatory Academy,90532,Great Hearts Academies - Anthem Prep,90635,*,55,60,60,60,60,60,72,72,78,65,56,41,56,795
109,2018,Apache Elementary District,4178,Apache Elementary School,4786,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
110,2018,Apache Junction Unified District,4443,Apache Junction High School,5925,*,*,*,*,*,*,*,*,*,*,278,*,136,178,600
111,2018,Apache Junction Unified District,4443,Cactus Canyon Junior High,5923,*,*,*,*,*,*,*,*,320,306,*,*,*,*,626
112,2018,Apache Junction Unified District,4443,Desert Vista Elementary School,5922,53,83,81,86,101,96,114,100,*,*,*,*,*,*,714
113,2018,Apache Junction Unified District,4443,Four Peaks Elementary School,5920,*,89,92,111,88,101,115,112,*,*,*,*,*,*,708
114,2018,Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,*,75,51,66,58,74,77,90,*,*,*,*,*,*,491
115,2018,Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13
116,2018,Aprender Tucson,79426,Southside Community School,79432,*,20,27,23,20,31,32,27,33,31,*,*,*,*,244
117,2018,Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,*,87,87,90,89,89,90,*,*,*,*,*,*,*,532
118,2018,Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,*,81,85,91,88,86,85,*,*,*,*,*,*,*,516
119,2018,Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,*,82,87,86,89,87,88,*,*,*,*,*,*,*,519
120,2018,Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,*,105,115,118,114,109,109,*,*,*,*,*,*,*,670
121,2018,Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,*,106,120,119,113,114,117,115,*,*,*,*,*,*,804
122,2018,Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,*,85,81,81,78,74,*,*,*,*,*,*,*,*,399
123,2018,Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,*,86,85,88,89,90,55,*,*,*,*,*,*,*,493
124,2018,Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,*,88,90,89,91,87,91,*,*,*,*,*,*,*,536
125,2018,Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,*,88,90,90,89,90,90,*,*,*,*,*,*,*,537
126,2018,Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,*,*,*,*,*,*,*,99,98,96,81,59,63,59,555
127,2018,"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,*,*,*,*,*,*,*,*,*,*,*,*,*,*,34
128,2018,Arizona Agribusiness & Equine Center INC.,134379,"Arizona Agribusiness & Equine Center, Inc. - Mesa",156568,*,*,*,*,*,*,*,*,*,*,15,12,*,*,41
129,2018,"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,*,*,*,*,*,*,*,*,*,*,55,74,93,91,313
130,2018,"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,*,*,*,*,*,*,*,*,*,*,128,97,136,79,440
131,2018,"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,*,*,*,*,*,*,*,*,*,*,47,36,29,32,144
132,2018,"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,*,*,*,*,*,*,*,*,*,*,111,97,92,100,400
133,2018,"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,*,*,*,*,*,*,*,*,*,*,87,49,54,46,236
134,2018,"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter School,92598,*,17,21,21,27,20,*,*,*,*,*,*,*,*,106
135,2018,"Arizona Autism Charter Schools, Inc.",91958,"Arizona Autism Charter School, Upper School Campus",92984,*,*,*,*,*,*,19,15,24,13,*,*,*,*,71
136,2018,"Arizona Call-a-Teen Youth Resources, Inc.",4346,Arizona Call-a-Teen Center for Excellence,5520,*,*,*,*,*,*,*,*,*,*,*,*,31,105,150
137,2018,Arizona Community Development Corporation,79947,La Paloma Academy,79950,*,88,90,85,81,86,85,86,73,61,*,*,*,*,735
138,2018,Arizona Community Development Corporation,79947,La Paloma Academy (Lakeside),81187,*,113,114,106,97,107,92,84,68,64,*,*,*,*,845
139,2018,Arizona Community Development Corporation,79947,La Paloma Academy-South,91805,*,48,38,52,49,44,45,40,45,39,*,*,*,*,400
140,2018,"Arizona Connections Academy Charter School, Inc.",87407,Arizona Connections Academy,81179,*,87,88,85,122,124,162,197,213,278,242,247,190,160,2195
141,2018,Arizona Education Solutions,90758,Valiant Academy,91184,*,11,*,*,*,*,*,*,14,*,*,*,*,*,72
142,2018,Arizona Education Solutions,90758,Valiant Academy,91246,*,*,*,*,*,*,*,*,*,*,13,15,16,20,64
143,2018,Arizona Language Preparatory,92566,Arizona Language Preparatory,92567,*,24,24,15,*,*,*,*,*,*,*,*,*,*,77
144,2018,Arizona Montessori Charter School at Anthem,85749,AMCS at Anthem dba Caurus Academy,85750,*,49,52,56,47,47,45,35,31,32,*,*,*,*,394
145,2018,Arizona School For The Arts,4345,Arizona School For The Arts,5519,*,*,*,*,*,*,111,111,112,111,108,101,101,84,839
146,2018,Arlington Elementary District,4274,Arlington Elementary School,5354,*,33,26,25,26,31,25,30,32,32,*,*,*,*,262
147,2018,Ash Creek Elementary District,4187,Ash Creek Elementary,4797,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18
148,2018,Ash Fork Joint Unified District,4471,Ash Fork Elementary School,6101,*,14,16,12,17,22,23,*,*,*,*,*,*,*,104
149,2018,Ash Fork Joint Unified District,4471,Ash Fork High School,6103,*,*,*,*,*,*,*,*,*,*,13,19,14,14,60
150,2018,Ash Fork Joint Unified District,4471,Ash Fork Middle School,6102,*,*,*,*,*,*,*,19,18,21,*,*,*,*,58
151,2018,Avondale Elementary District,4272,Avondale Middle School,91985,*,*,*,*,*,*,*,126,150,158,*,*,*,*,434
152,2018,Avondale Elementary District,4272,Centerra Mirage STEM Academy,87619,*,49,39,51,51,61,58,68,62,63,*,*,*,*,502
153,2018,Avondale Elementary District,4272,Copper Trails,90028,*,81,104,96,131,116,123,134,113,122,*,*,*,*,1021
154,2018,Avondale Elementary District,4272,Desert Star,79670,*,60,73,72,67,82,76,93,80,94,*,*,*,*,697
155,2018,Avondale Elementary District,4272,Desert Thunder,79792,*,72,90,82,72,80,81,84,96,71,*,*,*,*,728
156,2018,Avondale Elementary District,4272,Eliseo C. Felix School,5348,*,*,*,117,137,127,129,*,*,*,*,*,*,*,510
157,2018,Avondale Elementary District,4272,Lattie Coor,5349,*,137,141,*,*,*,*,*,*,*,*,*,*,*,284
158,2018,Avondale Elementary District,4272,Michael Anderson,5347,*,81,79,100,111,113,87,119,80,82,*,*,*,*,852
159,2018,Avondale Elementary District,4272,Wildflower School,78924,30,51,43,46,40,34,60,41,59,48,*,*,*,*,452
160,2018,Avondale Learning dba Precision Academy,79929,Precision Academy,80006,*,*,*,*,*,*,*,*,*,*,21,24,29,20,94
161,2018,Az-Tec High School,4508,AZTEC High School,6192,*,*,*,*,*,*,*,*,*,*,*,13,31,43,91
162,2018,"BASIS Schools, Inc.",6361,BASIS Tucson Primary,6065,*,155,158,152,155,155,*,*,*,*,*,*,*,*,775
163,2018,"BASIS Schools, Inc.",81078,BASIS Scottsdale,81079,*,*,*,*,*,156,185,185,167,115,102,80,90,67,1147
164,2018,"BASIS Schools, Inc.",90508,BASIS Oro Valley,90509,*,*,*,*,*,*,*,119,121,89,79,50,48,46,552
165,2018,"BASIS Schools, Inc.",90841,BASIS Peoria,91055,*,*,*,*,*,*,160,165,153,130,72,56,53,42,831
166,2018,"BASIS Schools, Inc.",90842,BASIS Chandler,91056,*,*,*,*,*,*,216,172,157,140,51,56,78,82,952
167,2018,"BASIS Schools, Inc.",90862,BASIS Flagstaff,90863,*,*,*,*,66,67,96,95,80,62,46,46,41,33,632
168,2018,"BASIS Schools, Inc.",91280,BASIS Phoenix,91343,*,*,*,*,*,*,122,125,124,126,89,89,54,59,788
169,2018,"BASIS Schools, Inc.",91309,BASIS Tucson North,91766,*,*,*,*,*,*,152,150,145,154,94,106,97,62,960
170,2018,"BASIS Schools, Inc.",91339,BASIS Ahwatukee,92030,*,*,*,*,*,98,139,140,133,89,65,51,31,27,773
171,2018,"BASIS Schools, Inc.",91949,BASIS Mesa,91997,*,*,*,*,50,56,68,108,109,80,59,38,43,11,622
172,2018,"BASIS Schools, Inc.",92318,BASIS Oro Valley Primary,92319,*,124,121,123,119,123,124,*,*,*,*,*,*,*,734
173,2018,"BASIS Schools, Inc.",92320,BASIS Prescott,92321,*,62,63,57,66,92,62,89,80,64,47,34,28,12,756
174,2018,"BASIS Schools, Inc.",92349,BASIS Phoenix Central Primary,92350,*,146,134,150,154,115,80,58,36,25,*,*,*,*,898
175,2018,"BASIS Schools, Inc.",92734,BASIS Goodyear,92735,*,*,*,*,*,*,*,90,66,35,13,13,*,*,217
176,2018,"BASIS Schools, Inc.",92736,BASIS Goodyear Primary,92737,*,121,125,95,94,93,95,*,*,*,*,*,*,*,623
177,2018,"BASIS Schools, Inc.",92863,BASIS Scottsdale Primary,92864,*,133,140,139,138,*,*,*,*,*,*,*,*,*,550
178,2018,"BASIS Schools, Inc.",92865,BASIS Chandler Primary- South Campus,92866,*,86,95,96,96,93,*,*,*,*,*,*,*,*,466
179,2018,"BASIS Schools, Inc.",92997,BASIS Chandler Primary - North Campus,93010,*,115,126,119,118,104,*,*,*,*,*,*,*,*,582
180,2018,"BASIS Schools, Inc.",273398,BASIS Peoria Primary,103670,*,125,124,124,127,129,*,*,*,*,*,*,*,*,629
181,2018,"BASIS Schools, Inc.",549803,BASIS Phoenix South Primary,139682,*,92,57,52,*,*,*,*,*,*,*,*,*,*,201
182,2018,Baboquivari Unified School District #40,4412,Alternative High School (Indian Oasis High School),90822,*,*,*,*,*,*,*,*,*,*,*,*,14,12,39
183,2018,Baboquivari Unified School District #40,4412,Alternative Middle School (Indian Oasis Middle School),90821,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11
184,2018,Baboquivari Unified School District #40,4412,Baboquivari High School,5847,*,*,*,*,*,*,*,*,*,*,38,49,32,44,163
185,2018,Baboquivari Unified School District #40,4412,Baboquivari Middle School,5846,*,*,*,*,*,*,*,*,85,65,*,*,*,*,150
186,2018,Baboquivari Unified School District #40,4412,Indian Oasis Intermediate Elementary School,948673,*,*,*,*,*,82,61,83,*,*,*,*,*,*,226
187,2018,Baboquivari Unified School District #40,4412,Indian Oasis Primary Elementary School,5844,*,100,84,91,94,*,*,*,*,*,*,*,*,*,377
188,2018,Bagdad Unified District,4468,Bagdad Elementary School,6088,11,27,26,27,35,44,38,*,*,*,*,*,*,*,208
189,2018,Bagdad Unified District,4468,Bagdad Middle / Senior High School,6089,*,*,*,*,*,*,*,33,38,22,35,24,29,21,202
190,2018,Ball Charter Schools (Dobson),79204,"Dobson Academy, The - A Ball Charter School",10729,*,49,59,45,59,58,47,38,33,37,*,*,*,*,425
191,2018,Ball Charter Schools (Hearn),4294,"Hearn Academy, The - A Ball Charter School",10730,*,53,62,68,70,73,63,66,62,67,*,*,*,*,584
192,2018,Ball Charter Schools (Val Vista),90885,Ball Charter Schools (Val Vista),91791,*,38,34,35,45,41,28,25,27,14,*,*,*,*,287
193,2018,Balsz Elementary District,4268,Balsz Elementary School,5319,*,67,58,85,70,83,74,79,194,222,*,*,*,*,932
194,2018,Balsz Elementary District,4268,Brunson-Lee Elementary School,81141,*,62,59,59,59,51,60,35,*,*,*,*,*,*,385
195,2018,Balsz Elementary District,4268,David Crockett Elementary School,5320,*,70,60,83,59,63,61,56,*,*,*,*,*,*,452
196,2018,Balsz Elementary District,4268,Griffith Elementary School,5321,*,84,70,91,67,71,74,57,*,*,*,*,*,*,515
197,2018,Beaver Creek Elementary District,4481,Beaver Creek School,6116,14,32,28,33,28,28,31,34,39,38,*,*,*,*,305
198,2018,"Bell Canyon Charter School, Inc",79983,Imagine Bell Canyon,79507,*,49,43,36,51,45,37,27,37,22,*,*,*,*,347
199,2018,"Benchmark School, Inc.",10972,Benchmark School,78803,*,47,61,64,61,67,49,56,*,*,*,*,*,*,405
200,2018,Benjamin Franklin Charter School,4355,Benjamin Franklin Charter School - Crismon,5537,*,119,111,105,108,95,120,76,*,*,*,*,*,*,734
201,2018,Benjamin Franklin Charter School,4355,Benjamin Franklin Charter School - Gilbert,5538,*,80,95,69,75,70,73,76,*,*,*,*,*,*,538
202,2018,Benjamin Franklin Charter School,4355,Benjamin Franklin Charter School - Power,88341,*,97,97,96,106,114,109,97,*,*,*,*,*,*,716
203,2018,Benjamin Franklin Charter School,4355,Benjamin Franklin High School,92270,*,*,*,*,*,*,*,*,219,226,186,145,122,96,994
204,2018,Benson Unified School District,79226,Benson High School,4799,*,*,*,*,*,*,*,*,*,*,112,75,66,84,337
