,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
759,2018,Glendale Union High School District,4285,Moon Valley High School,5430,*,*,*,*,*,*,*,*,*,*,363,397,352,319,1431
760,2018,Glendale Union High School District,4285,Sunnyslope High School,5427,*,*,*,*,*,*,*,*,*,*,613,531,486,436,2066
761,2018,Glendale Union High School District,4285,Thunderbird High School,5432,*,*,*,*,*,*,*,*,*,*,427,400,337,325,1489
762,2018,Glendale Union High School District,4285,Washington High School,5428,*,*,*,*,*,*,*,*,*,*,471,464,387,317,1639
763,2018,Globe Unified District,4208,Copper Rim Elementary School,4854,46,128,117,128,135,131,126,*,*,*,*,*,*,*,811
764,2018,Globe Unified District,4208,Globe High School,4855,*,*,*,*,*,*,*,*,*,*,154,113,108,104,479
765,2018,Globe Unified District,4208,High Desert Middle School,85831,*,*,*,*,*,*,*,103,102,108,*,*,*,*,313
766,2018,Graham County Special Services,4217,Dan Hinton Accommodation School,4879,46,*,*,*,*,*,*,*,*,*,*,*,*,*,84
767,2018,Grand Canyon Unified District,4194,Grand Canyon Elementary,4824,*,24,15,19,17,34,20,24,28,27,*,*,*,*,211
768,2018,Grand Canyon Unified District,4194,Grand Canyon High School,4825,*,*,*,*,*,*,*,*,*,*,16,18,18,17,69
769,2018,Graysmark Schools Corporation,90894,Holsteiner Agricultural School,91147,*,16,*,*,*,*,*,*,*,*,*,*,*,*,48
770,2018,Great Expectations Academy,10974,Great Expectations Academy,78808,*,36,33,30,33,38,31,34,22,26,*,*,*,*,283
771,2018,"Griffin Foundation, Inc. The",79500,Children Reaching for the Sky Preparatory,79512,*,29,29,20,14,26,21,*,*,*,*,*,*,*,139
772,2018,"Griffin Foundation, Inc. The",79500,Future Investment Middle School,90470,*,*,*,*,*,*,*,18,18,23,*,*,*,*,59
773,2018,Ha:san Educational Services,6369,Ha:san Preparatory & Leadership School,5872,*,*,*,*,*,*,*,*,*,*,22,32,21,31,106
774,2018,Hackberry School District,4371,Cedar Hills School,5570,*,*,*,*,*,*,*,*,*,*,*,*,*,*,28
775,2018,Happy Valley East,90906,Happy Valley School East Campus,91818,*,94,79,86,91,76,54,45,*,*,*,*,*,*,525
776,2018,"Happy Valley School, Inc.",79081,Happy Valley School,79095,*,97,88,82,86,84,58,49,*,*,*,*,*,*,544
777,2018,"Harvest Power Community Development Group, Inc.",79501,Harvest Preparatory Academy,79513,*,75,72,72,83,71,85,81,66,92,69,47,77,50,940
778,2018,"Harvest Power Community Development Group, Inc.",79501,"Harvest Preparatory Academy, Goodyear",92523,*,45,37,39,40,34,35,29,17,16,*,*,*,*,292
779,2018,"Harvest Power Community Development Group, Inc.",79501,"Harvest Preparatory Academy, San Luis AZ",90277,*,94,90,83,79,60,79,69,57,*,*,*,*,*,611
780,2018,"Haven Montessori Children's House, Inc.",89951,Haven Montessori Charter School,89952,*,16,20,14,*,17,*,*,*,*,*,*,*,*,90
781,2018,Hayden-Winkelman Unified District,4212,Hayden High School,4873,*,*,*,*,*,*,*,*,*,*,21,21,11,17,70
782,2018,Hayden-Winkelman Unified District,4212,Leonor Hambly K-8,4870,18,19,18,20,18,16,15,17,25,19,*,*,*,*,185
783,2018,Heber-Overgaard Unified District,4392,Capps Elementary School,5623,*,*,*,*,*,45,45,40,*,*,*,*,*,*,130
784,2018,Heber-Overgaard Unified District,4392,Mogollon High School,5625,*,*,*,*,*,*,*,*,*,*,35,36,27,26,124
785,2018,Heber-Overgaard Unified District,4392,Mogollon Jr High School,5624,*,*,*,*,*,*,*,*,42,41,*,*,*,*,83
786,2018,Heber-Overgaard Unified District,4392,Mountain Meadows Primary,6053,*,31,39,45,29,*,*,*,*,*,*,*,*,*,148
787,2018,"Heritage Academy Laveen, Inc.",92520,Heritage Academy Laveen,92521,*,*,*,*,*,*,*,*,32,79,108,85,78,62,444
788,2018,"Heritage Academy Queen Creek, Inc.",92519,Heritage Academy Queen Creek,92522,*,*,*,*,*,*,*,*,109,104,101,78,54,28,474
789,2018,"Heritage Academy, Inc.",4336,Heritage Academy,5509,*,*,*,*,*,*,*,*,134,140,103,111,91,99,678
790,2018,Heritage Elementary School,81076,Heritage Elementary - Williams,89624,*,*,*,*,12,11,*,*,*,*,*,*,*,*,73
791,2018,Heritage Elementary School,81076,Heritage Elementary School,81077,*,86,86,83,109,99,93,102,96,80,*,*,*,*,834
792,2018,Hermosa Montessori Charter School,4426,Hermosa Montessori Charter,5866,*,35,27,33,32,34,18,16,21,16,*,*,*,*,232
793,2018,Highland Free School,79061,Highland Free School,79115,*,*,*,*,*,*,11,*,*,*,*,*,*,*,56
794,2018,Highland Prep,92982,Highland Prep,703390,*,*,*,*,*,*,*,*,*,*,75,*,*,*,75
